quantile_window,entry_quantile,min_trade_size,threshold_mult,max_hold_bars,stop_loss_mult,take_profit_mult,n_trades,total_pnl,sharpe
100,0.85,0.01,0.25,50,1.5,4.0,11,291.3675079602177,0.0221899779002344
100,0.85,0.01,0.25,50,1.5,6.0,12,331.647006999227,0.02420505048116842
100,0.85,0.01,0.25,50,1.5,8.0,23,-322.4522581212771,-0.02872925905896081
100,0.85,0.01,0.25,50,1.5,10.0,17,-64.81370485301461,-0.004803631109740528
100,0.85,0.01,0.25,50,2.0,4.0,11,291.3235668240607,0.0221866195358672
100,0.85,0.01,0.25,50,2.0,6.0,14,295.10195227394803,0.02202959187276689
100,0.85,0.01,0.25,50,2.0,8.0,18,-299.90273109087883,-0.03167392738677779
100,0.85,0.01,0.25,50,2.0,10.0,14,160.28084450945292,0.013130351606542584
100,0.85,0.01,0.25,75,1.5,4.0,9,458.51668413025357,0.034797650022990775
100,0.85,0.01,0.25,75,1.5,6.0,10,523.7583299532702,0.03816424512356182
100,0.85,0.01,0.25,75,1.5,8.0,20,-223.2694563892975,-0.016463891884453786
100,0.85,0.01,0.25,75,1.5,10.0,18,-352.92242134465596,-0.03834447625716609
100,0.85,0.01,0.25,75,2.0,4.0,9,458.47201543861655,0.03479417162847926
100,0.85,0.01,0.25,75,2.0,6.0,12,412.9842323077464,0.030420168885962613
100,0.85,0.01,0.25,75,2.0,8.0,13,76.3191289082468,0.006273214080187801
100,0.85,0.01,0.25,75,2.0,10.0,15,-131.36006719427056,-0.013817543296411773
100,0.85,0.01,0.25,100,1.5,4.0,8,367.30828566425544,0.02745849789761983
100,0.85,0.01,0.25,100,1.5,6.0,8,471.7426324085563,0.03399000853544686
100,0.85,0.01,0.25,100,1.5,8.0,20,-274.88821400743905,-0.021588286214076737
100,0.85,0.01,0.25,100,1.5,10.0,18,-361.69263544973086,-0.039184598004730065
100,0.85,0.01,0.25,100,2.0,4.0,8,367.2640288184974,0.027455148048834786
100,0.85,0.01,0.25,100,2.0,6.0,8,471.6979012251734,0.03398672238115902
100,0.85,0.01,0.25,100,2.0,8.0,14,48.58077091346601,0.0044182009720413334
100,0.85,0.01,0.25,100,2.0,10.0,15,-146.07948063643227,-0.01505035074982504
100,0.85,0.01,0.3,50,1.5,4.0,9,360.0352766539826,0.02774256062483459
100,0.85,0.01,0.3,50,1.5,6.0,9,463.9108637476947,0.03440185293271147
100,0.85,0.01,0.3,50,1.5,8.0,18,-236.2615669626999,-0.02199991916356508
100,0.85,0.01,0.3,50,1.5,10.0,17,-426.89809881850647,-0.052610925639228104
100,0.85,0.01,0.3,50,2.0,4.0,9,360.0352766539826,0.02774256062483459
100,0.85,0.01,0.3,50,2.0,6.0,9,463.9108637476947,0.03440185293271147
100,0.85,0.01,0.3,50,2.0,8.0,15,-319.6535867058023,-0.03486783756871573
100,0.85,0.01,0.3,50,2.0,10.0,13,61.748719212431425,0.005376199322359257
100,0.85,0.01,0.3,75,1.5,4.0,7,538.6622471541821,0.041838329714061165
100,0.85,0.01,0.3,75,1.5,6.0,7,644.3288747406029,0.04817914840012946
100,0.85,0.01,0.3,75,1.5,8.0,16,-178.201735672554,-0.013848391803053946
100,0.85,0.01,0.3,75,1.5,10.0,16,-422.1272037697761,-0.052044739742391495
100,0.85,0.01,0.3,75,2.0,4.0,7,538.6622471541821,0.041838329714061165
100,0.85,0.01,0.3,75,2.0,6.0,7,644.3288747406029,0.04817914840012946
100,0.85,0.01,0.3,75,2.0,8.0,10,41.21422167744122,0.0036355912637287616
100,0.85,0.01,0.3,75,2.0,10.0,14,-250.7574175906218,-0.027320239926988107
100,0.85,0.01,0.3,100,1.5,4.0,6,430.97288185476765,0.03329256623625843
100,0.85,0.01,0.3,100,1.5,6.0,6,535.559721448059,0.03983034079626337
100,0.85,0.01,0.3,100,1.5,8.0,16,-494.990485617395,-0.06020098372022048
100,0.85,0.01,0.3,100,1.5,10.0,14,-390.35348485724586,-0.04743790666723681
100,0.85,0.01,0.3,100,2.0,4.0,6,430.97288185476765,0.03329256623625843
